time,date,hour,minute,second,price,volume,daytime,log_return
2010-10-05 03:00:00,0,0,0,0,0.0,0,0.0,
2010-10-05 03:10:00,0,0,0,0,0.0,0,0.0,
2010-10-05 03:20:00,0,0,0,0,0.0,0,0.0,
2010-10-05 03:30:00,0,0,0,0,0.0,0,0.0,
2010-10-05 03:40:00,0,0,0,0,0.0,0,0.0,
2010-10-05 03:50:00,0,0,0,0,0.0,0,0.0,
2010-10-05 04:00:00,0,0,0,0,0.0,0,0.0,
2010-10-05 04:10:00,0,0,0,0,0.0,0,0.0,
2010-10-05 04:20:00,0,0,0,0,0.0,0,0.0,
2010-10-05 04:30:00,0,0,0,0,0.0,0,0.0,
2010-10-05 04:40:00,0,0,0,0,0.0,0,0.0,
2010-10-05 04:50:00,0,0,0,0,0.0,0,0.0,
2010-10-05 05:00:00,0,0,0,0,0.0,0,0.0,
2010-10-05 05:10:00,0,0,0,0,0.0,0,0.0,
2010-10-05 05:20:00,0,0,0,0,0.0,0,0.0,
2010-10-05 05:30:00,0,0,0,0,0.0,0,0.0,
2010-10-05 05:40:00,0,0,0,0,0.0,0,0.0,
2010-10-05 05:50:00,0,0,0,0,0.0,0,0.0,
2010-10-05 06:00:00,0,0,0,0,0.0,0,0.0,
2010-10-05 06:10:00,0,0,0,0,0.0,0,0.0,
2010-10-05 06:20:00,0,0,0,0,0.0,0,0.0,
2010-10-05 06:30:00,0,0,0,0,0.0,0,0.0,
2010-10-05 06:40:00,0,0,0,0,0.0,0,0.0,
2010-10-05 06:50:00,0,0,0,0,0.0,0,0.0,
2010-10-05 07:00:00,0,0,0,0,0.0,0,0.0,
2010-10-05 07:10:00,0,0,0,0,0.0,0,0.0,
2010-10-05 07:20:00,0,0,0,0,0.0,0,0.0,
2010-10-05 07:30:00,0,0,0,0,0.0,0,0.0,
2010-10-05 07:40:00,0,0,0,0,0.0,0,0.0,
2010-10-05 07:50:00,0,0,0,0,0.0,0,0.0,
2010-10-05 08:00:00,0,0,0,0,0.0,0,0.0,
