time,date,hour,minute,second,bid,ofr,bidsiz,ofrsiz,bid_offer_diff
2010-01-04 06:55:00,,,,,,,,,
2010-01-04 07:00:00,20100104.0,7.0,3.0,24.5,56.345,0.0,2.0,0.0,-56.345
2010-01-04 07:05:00,20100104.0,7.0,6.428571428571429,25.0,56.83714285714286,58.681428571428576,2.0,1.0,1.8442857142857159
2010-01-04 07:10:00,,,,,,,,,
2010-01-04 07:15:00,20100104.0,7.0,15.0,25.5,57.165,57.56,1.0,1.0,0.3950000000000031
2010-01-04 07:20:00,,,,,,,,,
2010-01-04 07:25:00,,,,,,,,,
2010-01-04 07:30:00,,,,,,,,,
2010-01-04 07:35:00,,,,,,,,,
2010-01-04 07:40:00,20100104.0,7.0,42.666666666666664,47.666666666666664,57.02333333333333,58.18000000000001,1.3333333333333333,1.0,1.1566666666666687
2010-01-04 07:45:00,20100104.0,7.0,48.333333333333336,33.0,57.18666666666667,57.553333333333335,6.333333333333333,1.0,0.36666666666666475
2010-01-04 07:50:00,20100104.0,7.0,52.285714285714285,27.928571428571427,57.14857142857142,58.03857142857144,1.0714285714285714,2.7142857142857144,0.8900000000000016
2010-01-04 07:55:00,20100104.0,7.0,56.0,30.0,57.23,57.55,2.0,1.0,0.3200000000000003
2010-01-04 08:00:00,20100104.0,8.0,0.47058823529411764,24.941176470588236,57.132352941176485,57.873529411764686,2.0588235294117645,2.764705882352941,0.7411764705882341
2010-01-04 08:05:00,20100104.0,8.0,7.555555555555555,25.962962962962962,57.197777777777766,57.68777777777778,2.3333333333333335,2.888888888888889,0.49000000000000016
2010-01-04 08:10:00,20100104.0,8.0,11.777777777777779,6.722222222222222,57.278333333333336,57.52666666666667,2.2777777777777777,1.4444444444444444,0.24833333333333485
2010-01-04 08:15:00,20100104.0,8.0,17.72,31.9,57.10299999999997,55.18460000000001,3.76,1.36,-1.9184000000000003
2010-01-04 08:20:00,20100104.0,8.0,22.0,5.758620689655173,57.24758620689656,57.52655172413793,2.2413793103448274,1.9655172413793103,0.27896551724137847
2010-01-04 08:25:00,20100104.0,8.0,27.9,15.1,57.249999999999986,57.511749999999985,3.575,5.75,0.2617500000000007
2010-01-04 08:30:00,20100104.0,8.0,32.19672131147541,28.540983606557376,57.23442622950819,56.55229508196713,5.442622950819672,5.081967213114754,-0.6821311475409828
2010-01-04 08:35:00,20100104.0,8.0,36.0,15.375,57.333125,57.506875,6.5625,3.5,0.17375000000000096
2010-01-04 08:40:00,20100104.0,8.0,43.0,13.653846153846153,55.89807692307693,56.116410256410255,5.102564102564102,1.564102564102564,0.218333333333332
2010-01-04 08:45:00,20100104.0,8.0,46.859375,13.8125,57.45125000000002,57.65890624999995,3.09375,1.609375,0.20765624999999877
2010-01-04 08:50:00,20100104.0,8.0,51.903225806451616,22.06451612903226,57.50516129032256,57.61967741935479,5.741935483870968,1.3870967741935485,0.11451612903225614
2010-01-04 08:55:00,20100104.0,8.0,59.0,16.533333333333335,57.53233333333331,57.679666666666684,24.633333333333333,2.7333333333333334,0.14733333333333246
2010-01-04 09:00:00,20100104.0,9.0,0.9230769230769231,21.615384615384617,48.68230769230768,202.52692307692303,4.076923076923077,2.3846153846153846,153.8446153846154
2010-01-04 09:05:00,20100104.0,9.0,7.548672566371682,14.5929203539823,54.46530973451325,72.11407079646021,3.646017699115044,2.0353982300884956,17.648761061946935
2010-01-04 09:10:00,20100104.0,9.0,13.0,47.57142857142857,57.40857142857143,57.982142857142854,3.0,3.5714285714285716,0.5735714285714302
2010-01-04 09:15:00,20100104.0,9.0,17.275862068965516,21.804597701149426,56.455862068965516,58.830804597701196,6.655172413793103,2.793103448275862,2.3749425287356325
2010-01-04 09:20:00,20100104.0,9.0,23.1,28.95,57.003999999999984,58.24200000000002,9.95,3.15,1.238
2010-01-04 09:25:00,20100104.0,9.0,26.523809523809526,21.523809523809526,56.09761904761905,56.39095238095237,7.619047619047619,4.0476190476190474,0.2933333333333349
2010-01-04 09:30:00,20100104.0,9.0,31.374574829931973,26.14030612244898,57.501375425171005,57.51140306122543,4.449829931972789,5.503826530612245,0.010027636054423519
2010-01-04 09:35:00,20100104.0,9.0,36.85793314500942,28.5215395480226,57.720467278718786,57.7059427966108,3.381473634651601,4.633827683615819,-0.01452448210922814
2010-01-04 09:40:00,20100104.0,9.0,41.858066369774455,28.6204568309151,57.88472489584863,57.91841114782135,3.821290044533831,4.03720729780204,0.03368625197528912
2010-01-04 09:45:00,20100104.0,9.0,47.083159177986765,28.522640195053988,57.96126088470995,57.991192093351316,7.0053117380703585,6.03639846743295,0.029931208638101114
2010-01-04 09:50:00,20100104.0,9.0,52.187525815778606,30.184221396117305,58.057211895912026,58.0667368855858,5.893742255266419,6.78696819496076,0.009524989673688712
2010-01-04 09:55:00,20100104.0,9.0,56.82256280613051,30.430399747195448,58.152643387576745,58.119505451096835,5.1733291199241584,6.9230526149470695,-0.03313793648285519
2010-01-04 10:00:00,20100104.0,10.0,1.5603331672243184,23.59421940627892,58.26067914857329,58.28533067558956,2.966113760945398,3.4140385847511925,0.024651527016437167
